ts,Time,Day,Hour,Shift 1,Shift 2,Shift 3,Anyshift
422,3/5/2020 9:30,5,9,1,0,0,1
423,3/5/2020 9:45,5,9,1,0,0,1
424,3/5/2020 10:00,5,10,1,0,0,1
425,3/5/2020 10:15,5,10,1,0,0,1
426,3/5/2020 10:30,5,10,1,0,0,1
427,3/5/2020 10:45,5,10,1,0,0,1
428,3/5/2020 11:00,5,11,1,0,0,1
429,3/5/2020 11:15,5,11,1,0,0,1
430,3/5/2020 11:30,5,11,1,0,0,1
431,3/5/2020 11:45,5,11,1,0,0,1
432,3/5/2020 12:00,5,12,1,0,0,1
433,3/5/2020 12:15,5,12,1,0,0,1
434,3/5/2020 12:30,5,12,1,0,0,1
435,3/5/2020 12:45,5,12,1,0,0,1
436,3/5/2020 13:00,5,13,1,0,0,1
437,3/5/2020 13:15,5,13,1,0,0,1
438,3/5/2020 13:30,5,13,1,0,0,1
439,3/5/2020 13:45,5,13,1,0,0,1
440,3/5/2020 14:00,5,14,1,0,0,1
441,3/5/2020 14:15,5,14,1,0,0,1
442,3/5/2020 14:30,5,14,1,0,0,1
443,3/5/2020 14:45,5,14,1,0,0,1
444,3/5/2020 15:00,5,15,1,0,0,1
445,3/5/2020 15:15,5,15,1,0,0,1
446,3/5/2020 15:30,5,15,1,0,0,1
447,3/5/2020 15:45,5,15,1,0,0,1
448,3/5/2020 16:00,5,16,1,0,0,1
449,3/5/2020 16:15,5,16,1,0,0,1
450,3/5/2020 16:30,5,16,1,0,0,1
451,3/5/2020 16:45,5,16,1,0,0,1
452,3/5/2020 17:00,5,17,0,0,0,0
453,3/5/2020 17:15,5,17,0,0,0,0
454,3/5/2020 17:30,5,17,0,0,0,0
455,3/5/2020 17:45,5,17,0,0,0,0
456,3/5/2020 18:00,5,18,0,1,0,1
457,3/5/2020 18:15,5,18,0,1,0,1
458,3/5/2020 18:30,5,18,0,1,0,1
459,3/5/2020 18:45,5,18,0,1,0,1
460,3/5/2020 19:00,5,19,0,1,0,1
461,3/5/2020 19:15,5,19,0,1,0,1
462,3/5/2020 19:30,5,19,0,1,0,1
463,3/5/2020 19:45,5,19,0,1,0,1
464,3/5/2020 20:00,5,20,0,1,0,1
465,3/5/2020 20:15,5,20,0,1,0,1
466,3/5/2020 20:30,5,20,0,1,0,1
467,3/5/2020 20:45,5,20,0,1,0,1
468,3/5/2020 21:00,5,21,0,1,0,1
469,3/5/2020 21:15,5,21,0,1,0,1
470,3/5/2020 21:30,5,21,0,1,0,1
471,3/5/2020 21:45,5,21,0,1,0,1
472,3/5/2020 22:00,5,22,0,1,0,1
473,3/5/2020 22:15,5,22,0,1,0,1
474,3/5/2020 22:30,5,22,0,1,0,1
475,3/5/2020 22:45,5,22,0,1,0,1
476,3/5/2020 23:00,5,23,0,1,0,1
477,3/5/2020 23:15,5,23,0,1,0,1
478,3/5/2020 23:30,5,23,0,1,0,1
479,3/5/2020 23:45,5,23,0,1,0,1
480,3/6/2020 0:00,6,0,0,1,0,1
481,3/6/2020 0:15,6,0,0,1,0,1
482,3/6/2020 0:30,6,0,0,1,0,1
483,3/6/2020 0:45,6,0,0,1,0,1
484,3/6/2020 1:00,6,1,0,1,0,1
485,3/6/2020 1:15,6,1,0,1,0,1
486,3/6/2020 1:30,6,1,0,1,0,1
487,3/6/2020 1:45,6,1,0,1,0,1
488,3/6/2020 2:00,6,2,0,1,0,1
489,3/6/2020 2:15,6,2,0,1,0,1
490,3/6/2020 2:30,6,2,0,1,0,1
491,3/6/2020 2:45,6,2,0,1,0,1
492,3/6/2020 3:00,6,3,0,0,0,0
